APS_100_mean	Control_mean	M	D	prob	ranking
DDX11L1	NA	NA	NA	NA	NA	0
WASH7P	NA	NA	NA	NA	NA	0
MIR6859-1	NA	NA	NA	NA	NA	0
MIR1302-2HG	NA	NA	NA	NA	NA	0
MIR1302-2	NA	NA	NA	NA	NA	0
FAM138A	NA	NA	NA	NA	NA	0
OR4G4P	NA	NA	NA	NA	NA	0
OR4G11P	NA	NA	NA	NA	NA	0
OR4F5	NA	NA	NA	NA	NA	0
RP11-34P13.7	NA	NA	NA	NA	NA	0
RP11-34P13.8	NA	NA	NA	NA	NA	0
CICP27	NA	NA	NA	NA	NA	0
RP11-34P13.15	NA	NA	NA	NA	NA	0
RP11-34P13.16	NA	NA	NA	NA	NA	0
RP11-34P13.14	NA	NA	NA	NA	NA	0
RP11-34P13.13	NA	NA	NA	NA	NA	0
RNU6-1100P	NA	NA	NA	NA	NA	0
RP11-34P13.9	NA	NA	NA	NA	NA	0
ABC7-43046700E7.1	NA	NA	NA	NA	NA	0
RP11-34P13.18	NA	NA	NA	NA	NA	0
MIR6859-2	NA	NA	NA	NA	NA	0
AP006222.2	3.33699661406077	0.166849830703038	4.32192809488736	3.17014678335773	0.468233670279706	5.35993405606917
RPL23AP21	NA	NA	NA	NA	NA	0
RPL23AP24	NA	NA	NA	NA	NA	0
RP5-857K21.15	NA	NA	NA	NA	NA	0
RP4-669L17.2	NA	NA	NA	NA	NA	0
RP4-669L17.10	NA	NA	NA	NA	NA	0
WBP1LP7	NA	NA	NA	NA	NA	0
OR4F29	NA	NA	NA	NA	NA	0
SEPT14P13	NA	NA	NA	NA	NA	0
CICP7	NA	NA	NA	NA	NA	0
RP4-669L17.8	NA	NA	NA	NA	NA	0
U6	46.7179525968508	41.7124576757596	0.163498732282879	5.00549492109115	0.425168473186376	5.00816445821494
RP5-857K21.4	NA	NA	NA	NA	NA	0
RP5-857K21.2	NA	NA	NA	NA	NA	0
MTND1P23	40.0439593687292	21.690477991395	0.884522782580064	18.3534813773342	0.485315430520034	18.3747832428319
MTND2P28	33.3699661406077	15.0164847632735	1.15200309344505	18.3534813773342	0.566436284658791	18.389600044467
MTCO1P12	NA	NA	NA	NA	NA	0
MIR6723	NA	NA	NA	NA	NA	0
MTCO2P12	13.3479864562431	1.66849830703038	3	11.6794881492127	0.54108005521049	12.0586252710498
MTATP8P1	NA	NA	NA	NA	NA	0
MTATP6P1	56.7289424390331	16.6849830703038	1.76553474636298	40.0439593687292	0.658389152762554	40.0828616102325
MTCO3P12	0.333699661406077	3.33699661406077	-3.32192809488736	3.00329695265469	0.468233670279706	-4.47828079215975
WBP1LP6	NA	NA	NA	NA	NA	0
OR4F16	NA	NA	NA	NA	NA	0
RP11-206L10.17	NA	NA	NA	NA	NA	0
CICP3	NA	NA	NA	NA	NA	0
RP11-206L10.2	NA	NA	NA	NA	NA	0
RNU6-1199P	NA	NA	NA	NA	NA	0
RP11-206L10.4	NA	NA	NA	NA	NA	0
RP11-206L10.9	6.67399322812154	0.166849830703038	5.32192809488736	6.5071433974185	0.468233670279706	8.40629727298045
RP11-206L10.8	NA	NA	NA	NA	NA	0
FAM87B	0.333699661406077	1.66849830703038	-2.32192809488736	1.33479864562431	0.468233670279706	-2.67825269573051
LINC01128	3.33699661406077	5.00549492109115	-0.584962500721156	1.66849830703038	0.425168473186376	-1.76806892620543
LINC00115	6.67399322812154	0.166849830703038	5.32192809488736	6.5071433974185	0.468233670279706	8.40629727298045
FAM41C	NA	NA	NA	NA	NA	0
TUBB8P11	NA	NA	NA	NA	NA	0
FAM166AP3	NA	NA	NA	NA	NA	0
RP11-54O7.16	NA	NA	NA	NA	NA	0
RP11-54O7.1	0.333699661406077	6.67399322812154	-4.32192809488736	6.34029356671546	0.468233670279706	-7.67322519997362
RP11-54O7.2	NA	NA	NA	NA	NA	0
RP11-54O7.3	26.6959729124862	15.0164847632735	0.830074998557688	11.6794881492127	0.463212966345959	11.7089481991693
SAMD11	3.33699661406077	3.33699661406077	0	0	0.425168473186376	0
NOC2L	110.120888264005	68.4084305882458	0.68684211474037	41.7124576757596	0.513564121300694	41.7181121030496
KLHL17	16.6849830703038	11.6794881492127	0.514573172829758	5.00549492109115	0.425168473186376	5.03187489463574
PLEKHN1	6.67399322812154	0.166849830703038	5.32192809488736	6.5071433974185	0.468233670279706	8.40629727298045
PERM1	0.333699661406077	1.66849830703038	-2.32192809488736	1.33479864562431	0.468233670279706	-2.67825269573051
RP11-54O7.17	NA	NA	NA	NA	NA	0
HES4	13.3479864562431	10.0109898421823	0.415037499278844	3.33699661406077	0.425168473186376	3.3627076185807
ISG15	10.0109898421823	21.690477991395	-1.11547721741994	11.6794881492127	0.531178703365404	-11.7326353753188
RP11-54O7.10	NA	NA	NA	NA	NA	0
RP11-54O7.11	NA	NA	NA	NA	NA	0
AGRN	76.7509221233977	28.3644712195165	1.43609911480667	48.3864509038812	0.658343482320464	48.4077577640325
RP11-54O7.14	NA	NA	NA	NA	NA	0
RP11-465B22.3	3.33699661406077	0.166849830703038	4.32192809488736	3.17014678335773	0.468233670279706	5.35993405606917
RP11-54O7.18	NA	NA	NA	NA	NA	0
RNF223	NA	NA	NA	NA	NA	0
C1orf159	3.33699661406077	3.33699661406077	0	0	0.425168473186376	0
LINC01342	3.33699661406077	0.166849830703038	4.32192809488736	3.17014678335773	0.468233670279706	5.35993405606917
MIR200B	NA	NA	NA	NA	NA	0
MIR200A	NA	NA	NA	NA	NA	0
MIR429	NA	NA	NA	NA	NA	0
RP11-465B22.8	NA	NA	NA	NA	NA	0
TTLL10-AS1	NA	NA	NA	NA	NA	0
TTLL10	NA	NA	NA	NA	NA	0
TNFRSF18	NA	NA	NA	NA	NA	0
TNFRSF4	NA	NA	NA	NA	NA	0
SDF4	30.0329695265469	70.0769288952761	-1.22239242133645	40.0439593687292	0.63677992936305	-40.0626125602934
B3GALT6	23.3589762984254	31.7014678335773	-0.440572591385982	8.34249153515193	0.450097430276458	-8.3541169026033
C1QTNF12	3.33699661406077	0.166849830703038	4.32192809488736	3.17014678335773	0.468233670279706	5.35993405606917
RP5-902P8.12	0.333699661406077	1.66849830703038	-2.32192809488736	1.33479864562431	0.468233670279706	-2.67825269573051
UBE2J2	43.38095598279	35.0384644476381	0.308122295362332	8.34249153515192	0.437712621280396	8.34817970356298
LINC01786	3.33699661406077	0.166849830703038	4.32192809488736	3.17014678335773	0.468233670279706	5.35993405606917
SCNN1D	3.33699661406077	0.166849830703038	4.32192809488736	3.17014678335773	0.468233670279706	5.35993405606917
ACAP3	23.3589762984254	18.3534813773342	0.347923303420307	5.00549492109115	0.425168473186376	5.01757212505532
MIR6726	3.33699661406077	0.166849830703038	4.32192809488736	3.17014678335773	0.468233670279706	5.35993405606917
PUSL1	6.67399322812154	8.34249153515192	-0.321928094887362	1.66849830703038	0.425168473186376	-1.69927169659271
INTS11	30.0329695265469	51.7234475179419	-0.784271308944563	21.690477991395	0.485315430520034	-21.7046519663694
MIR6727	NA	NA	NA	NA	NA	0
RP5-890O3.9	6.67399322812154	1.66849830703038	2	5.00549492109115	0.468233670279706	5.39026709960363
CPTP	13.3479864562431	5.00549492109115	1.41503749927884	8.34249153515192	0.531178703365404	8.46164854732497
TAS1R3	0.333699661406077	1.66849830703038	-2.32192809488736	1.33479864562431	0.468233670279706	-2.67825269573051
DVL1	40.0439593687292	26.6959729124862	0.584962500721156	13.3479864562431	0.466712337108757	13.3607980137153
MIR6808	NA	NA	NA	NA	NA	0
MXRA8	NA	NA	NA	NA	NA	0
AURKAIP1	50.0549492109115	41.7124576757596	0.263034405833794	8.34249153515192	0.437712621280396	8.34663717390026
NDUFB4P8	NA	NA	NA	NA	NA	0
CCNL2	73.4139255093369	55.0604441320027	0.415037499278844	18.3534813773342	0.460225104534567	18.3581735146491
RP4-758J18.2	3.33699661406077	6.67399322812154	-1	3.33699661406077	0.468233670279706	-3.48361111524421
MRPL20	30.0329695265469	36.7069627546685	-0.289506617194985	6.67399322812154	0.425168473186376	-6.68026943247141
RN7SL657P	NA	NA	NA	NA	NA	0
RP4-758J18.13	3.33699661406077	0.166849830703038	4.32192809488736	3.17014678335773	0.468233670279706	5.35993405606917
ANKRD65	NA	NA	NA	NA	NA	0
RP4-758J18.7	NA	NA	NA	NA	NA	0
TMEM88B	NA	NA	NA	NA	NA	0
LINC01770	NA	NA	NA	NA	NA	0
VWA1	16.6849830703038	0.166849830703038	6.64385618977472	16.5181332396008	0.695392359842488	17.8042003693402
ATAD3C	NA	NA	NA	NA	NA	0
ATAD3B	20.0219796843646	23.3589762984254	-0.222392421336448	3.33699661406077	0.425168473186376	-3.34439901795837
ATAD3A	6.67399322812154	6.67399322812154	0	0	0.425168473186376	0
TMEM240	0.333699661406077	5.00549492109115	-3.90689059560852	4.67179525968508	0.468233670279706	-6.09011207404841
