APS_100_mean	Control_mean	M	D	prob	ranking
RP11-677M14.7	120.131878106188	8.34249153515192	3.84799690655495	111.789386571036	0.903422238460602	111.855594541003
TBL1Y	60.0659390530938	5.00549492109115	3.58496250072116	55.0604441320027	0.873797345024967	55.1770284098824
CEP85	0.333699661406077	35.0384644476381	-6.71424551766612	34.704764786232	0.873052409369545	-35.3482926283461
ERP44	0.333699661406077	33.3699661406077	-6.64385618977472	33.0362664792016	0.873052409369545	-33.6977110195222
EFR3B	0.333699661406077	31.7014678335773	-6.56985560833095	31.3677681721712	0.872147119717452	-32.0483990679316
C11orf95	0.333699661406077	25.0274746054558	-6.22881869049588	24.6937749440497	0.853916494133885	-25.4672476578535
ELMO2	0.333699661406077	26.6959729124862	-6.32192809488736	26.3622732510801	0.853916494133885	-27.1097072245633
HIST1H2BK	3.33699661406077	48.3864509038811	-3.85798099512757	45.0494542898204	0.841891974180977	-45.2143489300618
SERINC1	3.33699661406077	46.7179525968508	-3.8073549220576	43.38095598279	0.841891974180977	-43.5477128387161
SNORA11B	3.33699661406077	48.3864509038811	-3.85798099512757	45.0494542898204	0.841891974180977	-45.2143489300618
SNORD116-12	3.33699661406077	45.0494542898204	-3.75488750216347	41.7124576757596	0.841891974180977	-41.8811211109008
RHOBTB3	3.33699661406077	38.3754610616988	-3.52356195605701	35.0384644476381	0.82815734989648	-35.2151881963815
SRI	3.33699661406077	36.7069627546685	-3.4594316186373	33.3699661406077	0.82815734989648	-33.5488048572424
TRAF5	3.33699661406077	33.3699661406077	-3.32192809488736	30.0329695265469	0.813137863841189	-30.2161292168619
KLHL5	3.33699661406077	33.3699661406077	-3.32192809488736	30.0329695265469	0.813137863841189	-30.2161292168619
COMMD5	30.0329695265469	1.66849830703038	4.16992500144231	28.3644712195165	0.813137863841189	28.6693477791253
ZEB1-AS1	30.0329695265469	1.66849830703038	4.16992500144231	28.3644712195165	0.813137863841189	28.6693477791253
FAM127B	3.33699661406077	33.3699661406077	-3.32192809488736	30.0329695265469	0.813137863841189	-30.2161292168619
